,DatGeracaoConjuntoDados,NomAgente,IdeEmpresaProponenteProjeto,DscCodProjeto,DscTituloProjeto,DscTipologia,VlrCustoTotal,VlrRcbGlobal,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,DscObjetivo,DscJustificativa,DatInicioProjeto,DatConclusaoProjeto,DscMetodologiaMv,Score,Address,Latitude,Longitude,Estado,Capital
51,2024-04-01,COPEL DISTRIBUICAO S.A.,95,PE-02866-0051/2004,Substituição de Lâmpadas em Unidades Consumidoras Residenciais de Baixa Renda,Residencial,1747539.32,0.07,17562.59,8232.46,,"Pré(Projeto em andamento) Pós(Conforme mencionado nos itens anteriores, as dificuldades encontradas foram na sua totalidade problemas para se adequar as orientações emanadas dos órgãos do governo de SC. Quanto a problemas operacionais para a execução dos serviços de diagnósticos e projetos, algumas dificuldades foram acarretadas em função de que por se tratar a Segurança Pública de uma atividade de alto risco, nem sempre foi possível adentrar em alguns prédios, conforme cronograma de visitas elaborado e discutido com as unidades envolvidas. Fato este, que não comprometeu os trabalhos de campo com um atraso significativo.)",2003-01-01,2004-12-31,,1.0003126848166901,"Copel Distribuição S.A., Rua Vicente Machado, Guarapuava, Região Geográfica Imediata de Guarapuava, Região Geográfica Intermediária de Guarapuava, Paraná, Região Sul, 85010-050, Brasil",-25.38696195,-51.474271,Paraná,Guarapuava
52,2024-04-01,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,1171,PE-00404-0054/2001,EFICIENTIZAÇÃO ENERGÉTICA DA INDÚSTRIA AMAGGI EXPORTAÇÃO E IMPORTAÇÃO LTDA.,Industrial,1769.0,,2247.35,218.37,,,2000-01-01,2001-12-31,,4.647438358209246,,,,MATO GROSSO,CUIABÁ
86,2024-04-01,ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,3710,PE-05216-0086/2020,UNICENTRO,Poder Público,4000.0,0.27,324.64,49.24,Reduzir o consumo e as perdas no tcnicas de energia eltrica,Estaremos realizando medies individuais de um grupo do clientes que possuem a mesma caracterstica de consumo,2020-02-05,2021-02-04,"Para o sistema de Iluminao, foi escolhida a opo A de acordo com o PIMVP, Volume I, EVO 10000-1:2012 (Br). Esta opo foi escolhida devido  facilidade em medir o parmetro chave e para evitar ajustes no-de-rotina que venham ocorrer nos outros equipamentos que no fazem parte deste estudo.",1.2084669249967703,,,,SÃO PAULO,PRESIDENTE PRUDENTE
90,2024-04-01,ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,3761,PE-05216-0087/2020,UNICENTRO,Poder Público,4000.0,0.31,290.7,44.18,Reduzir o consumo e as perdas não técnicas de energia elétrica,Estaremos realizando medições individuais de um grupo do clientes que possuem a mesma característica de consumo,2020-02-05,2021-02-04,0,1.1826820819018395,,,,SÃO PAULO,PRESIDENTE PRUDENTE
109,2024-04-01,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,1166,PE-00404-0049/2000,Eficientização das Instalações Industriais da ADM do Brasil,Industrial,13238.38,0.81,582.11,70.3,,,1999-01-01,2000-12-31,,1.091606831129314,,,,MATO GROSSO,CUIABÁ
128,2024-04-01,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,1156,PE-00404-0039/2000,Recondutoramento de Redes de Distribuição Urbana,Pelo Lado da Oferta/Perdas,275499.94,,9256.1,1577.06,,,1999-01-01,2000-12-31,,1.0652669518313993,,,,MATO GROSSO,CUIABÁ
137,2024-04-01,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,575,PE-00396-0021/2005,Educacional,Educacional,94088.39,,1728.0,1315.0,,Projeto em andamento na data da entrega do RF,2004-01-01,2005-12-31,,1.0468078756418058,,,,RIO GRANDE DO SUL,CAXIAS DO SUL
138,2024-04-01,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,1156,PE-00404-0039/2000,Recondutoramento de Redes de Distribuição Urbana,Pelo Lado da Oferta/Perdas,275499.94,0.19,7635.46,1235.12,,,1999-01-01,2000-12-31,,1.0464275630994917,,,,MATO GROSSO,CUIABÁ
147,2024-04-01,COMPANHIA PAULISTA DE FORA E LUZ,3772,PE-00063-0203/2020,Projeto Central de Água Gelada Hospital das Clínicas da Unicamp,Poder Público,36000.0,0.6,906.52,99.88,"Inserir automação para operação otimizada dos sistemas da central de água gelada do Hospital das Clínicas da Unicamp , possibilitando reduzir o consumo de energia elétrica.",O projeto visa instalar instrumentação e sensoriamento em todos os equipamentos da central de água gelada do hospital e a gestão será automatizada na plataforma Oxyn G5. O benefício será revertido em melhorias para a população. Será utilizada a metodologia B do protocolo de medição e verficação internacional (CMVP EVO) para validação dos ganhos energéticos.,2020-04-27,2021-07-27,0,1.035207635908727,,,,SÃO PAULO,SOROCABA
152,2024-04-01,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,1157,PE-00404-0040/2000,Instalação de Bancos Capacitores na Rede de Alta Tensão,Pelo Lado da Oferta/Perdas,680219.0,0.08,14495.0,1450.0,,,1999-01-01,2000-12-31,,1.0232683824674942,,,,MATO GROSSO,CUIABÁ
153,2024-04-01,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,318,PE-00396-0012/2000,Divisão/Desmembramento de Circuitos Secundários de Distribuição,Pelo Lado da Oferta/Perdas,151000.0,0.0,2396.49,1141.67,,"Substituição Condicionadores de Ar, Lâmpadas, refrigeradores e ventiladores de baixo rendimento energético por equipamentos de alto rendimento energético.",1999-01-01,2000-12-31,,1.0232433696112408,,,,RIO GRANDE DO SUL,CAXIAS DO SUL
154,2024-04-01,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,1161,PE-00404-0044/1999,Gestão Energética - Empresa Sadia S.A.,Industrial,257128.0,,5658.84,362.0,,,1998-01-01,1999-12-31,,1.0232016063887197,,,,MATO GROSSO,CUIABÁ
155,2024-04-01,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,1150,PE-00404-0033/2005,Eficientização de prédios pertencentes à Agência Municipal de serviço de saneamento de Cuiabá,Serviços Públicos,120148.1,,231.14,2579.99,,,2004-01-01,2005-12-31,,1.0231526165364917,,,,MATO GROSSO,CUIABÁ
163,2024-04-01,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,891,PE-00396-0042/2001,Incentivo a Eficientização das Salas de Aula Municipais,Poder Público,144000.0,,1987.56,1003.8,,,2000-01-01,2001-12-31,,1.0162135053425392,,,,RIO GRANDE DO SUL,CAXIAS DO SUL
166,2024-04-01,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,1153,PE-00404-0036/2004,Prédios Públicos,Poder Público,15552.41,,215.0,85.0,,,2003-01-01,2004-12-31,,1.0122896258857015,,,,MATO GROSSO,CUIABÁ
169,2024-04-01,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,318,PE-00396-0012/2000,Divisão/Desmembramento de Circuitos Secundários de Distribuição,Pelo Lado da Oferta/Perdas,151000.0,,1900.0,900.0,,"Substituição Condicionadores de Ar, Lâmpadas, refrigeradores e ventiladores de baixo rendimento energético por equipamentos de alto rendimento energético.",1999-01-01,2000-12-31,,1.0103152758080047,,,,RIO GRANDE DO SUL,CAXIAS DO SUL
