,DatGeracaoConjuntoDados,NomAgente,IdeEmpresaProponenteProjeto,DscCodProjeto,DscTituloProjeto,DscTipologia,VlrCustoTotal,VlrRcbGlobal,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,DscObjetivo,DscJustificativa,DatInicioProjeto,DatConclusaoProjeto,DscMetodologiaMv,Score,Address,Latitude,Longitude,Estado,Capital
109,2024-04-01,CEMIG DISTRIBUIÇÃO SA,8691,PE-04950-0111/2017,ENERGIA INTELIGENTE - ESCOLAS II,Serviços Públicos,0.0,0.77,3009.98,899.47,Substituição de sistema de iluminação e instalação de sistemas de microgeração fotovoltaica em escolas públicas dentro da área de concessão da CEMIG D.,"O projeto se justifica pela atual situação das escolas públicas, que ainda estão equipadas com lâmpadas ineficientes e reatores eletromagnéticos, e também para aplicação e disseminação dos conceitos e da tecnologia da geração fotovoltaica na sociedade, especialmente para o público estudantil. Pretende-se, também, difundir a cultura de eficiência energética, já que as ações são vistas e experimentadas pelos alunos e comunidade.Este projeto será realizado com recurso disponibilizado e não utilizado na Chamada Pública de Projetos 01/2016, conforme prevê o item 4.6 da seção 3.0 do PROPEE.",2017-12-01,2022-11-07,Será utilizada a metodologia do PIMVP para aferição dos resultados do projeto: opção A para iluminação e opção B para fotovoltaico.,1.352860514513473,,,,MINAS GERAIS,BELO HORIZONTE
111,2024-04-01,CEMIG DISTRIBUIÇÃO SA,8693,PE-04950-0137/2018,Movimentos no Campo,Baixa Renda,0.0,0.43,2600.81,1166.14,"Reduzir o consumo e as perdas não técnicas de energia elétrica em comunidades quilombolas, indígenas e de movimentos sociais.",Estaremos realizando medições individuais de um grupo do clientes e usos finais que possuem a mesma característica de consumo,2018-05-10,2022-10-13,"Opção A do PIMVP, com amostragem estatística, para iluminação e opção B do PIMVP, com amostragem estatísitica, para refrigeração.",1.33914798180387,,,,MINAS GERAIS,BELO HORIZONTE
113,2024-04-01,RGE SUL DISTRIBUIDORA DE ENERGIA SA,11683,PE-00396-0103/2018,Eficientização Hospitais FV 2018,Poder Público,0.0,0.37,3327.44,252.91,"Promover a eficientização em Prédios Públicos, em sistemas de iluminação, e implementação das primeiras usinas fotovoltaicas em hospitais na concessão.",Cumprir metas regulatórias,2018-06-21,2023-08-10,A-Medição Parcial de Retrofit isolado,1.321191781076769,,,,RIO GRANDE DO SUL,CAXIAS DO SUL
114,2024-04-01,CEMIG DISTRIBUIÇÃO SA,8297,PE-04950-0138/2018,Terminal Rodoviário de BH,Serviços Públicos,0.0,0.38,3170.61,363.46,"Substituição de todo o sistema de iluminação obsoleto do Terminal Rodoviário de Belo Horizonte (oficialmente Terminal Rodoviário Governador Israel Pinheiro - TERGIP), por sistema iluminação a LED, incluindo o fornecimento e instalação de materiais e equipamentos eficientes, descarte de equipamentos usados, treinamento, medição e verificação (M&V) em conformidade com o Protocolo Internacional de Medição e Verificação de Performance e relatórios conforme determina a ANEEL.","O projeto se justifica pela atual situação do Terminal Rodoviário de Belo Horizonte, que ainda está equipado com lâmpadas ineficientes e reatores eletromagnéticos. Pretende-se, também, difundir a cultura de eficiência energética, já que as ações são vistas e experimentadas pelos milhares de usuários do terminal.Este projeto será realizado com recurso disponibilizado e não utilizado nas Chamadas Públicas de Projetos, conforme prevê o item 4.6 da seção 3.0 do PROPEE.",2018-06-06,2021-07-30,Será utilizada a opção A da metodologia do PIMVP para aferição dos resultados do projeto.,1.3167383353658888,,,,MINAS GERAIS,BELO HORIZONTE
116,2024-04-01,RGE SUL DISTRIBUIDORA DE ENERGIA SA,8205,PE-00396-0115/2019,Baixa Renda VII,Baixa Renda,0.0,0.22,2247.52,768.36,Reduzir o consumo e as perdas não técnicas de energia elétrica,,2019-05-10,2020-11-10,,1.2668737927357898,,,,RIO GRANDE DO SUL,CAXIAS DO SUL
118,2024-04-01,CEMIG DISTRIBUIÇÃO SA,8057,PE-04950-0090/2017,Sistemas de Soluções para Saneamento - S3,Serviços Públicos,0.0,0.76,2705.21,0.0,Melhoria no gerenciamento das redes de distribuição de água evitando o desperdício de energia elétrica como consequencia da redução do bombeamento de água- Apresentar um diagnóstico energético que permita estabelecer um potencial de otimização dos sistemas avaliados.,"Devido ao consumo dos equipamentos afetados pela ação de eficiência energética serem bastante significativos dentro da instalação das empresas de saneamento, a medição será realizada pelo próprio medidor de faturamento da concessionária de energia. Este mesmo medidor já registra o conumo na ponta.",2017-02-20,2021-11-16,"Opção C do PIMV, com utilização do próprio medidor de faturamento.",1.2369785468628611,,,,MINAS GERAIS,BELO HORIZONTE
119,2024-04-01,EDP ESPIRITO SANTO DISTRIBUIDORA DE ENERGIA SA,8508,PE-00380-0079/2019,Boa Energia na Comunidade,Baixa Renda,0.0,0.68,1908.55,729.23,"Aumentar a eficiência energética dos bairros alvos do projeto, promovendo, em parceria com a comunidade, ações de regularização e substituição de equipamentos residenciais ineficientes.",Realizando medições amostrais de um grupo de  lâmpadas conforme orientação do Guia de M&V.,2019-02-26,2022-02-25,"Opção A  do PIMV, com aplicação do guia de medição e verificação espécifica para uso de iluminação em unidades residenciais baixa renda.",1.2304898726129767,,,,ESPÍRITO SANTO,VITÓRIA
120,2024-04-01,COMPANHIA PAULISTA DE FORA E LUZ,5183,PE-00063-0143/2018,EE-00063-0143-2018_HC RIBEIRÃO PRETO,Poder Público,0.0,0.41,1976.97,225.77,"Reduzir o desperdício de energia elétrica no poder público, por meio de implementação de projeto de eficiência energética.",CUMPRIR METAS REGULATRIAS,2018-05-29,2020-12-30,A-Medição Parcial de Retrofit isolado,1.1886267131043058,,,,SÃO PAULO,SOROCABA
121,2024-04-01,COMPANHIA PIRATININGA DE FORÇA E LUZ,8530,PE-02937-0081/2019,Bônus Refrigerador Inverter RGE,Residencial,0.0,0.35,1726.56,354.04,"Reduzir o desperdício de energia elétrica em residências, por meio de implementação de projeto de eficiência energética, promovendo a tecnologia Inverter",Cumprir metas regulatórias e promover a eficiência energética,2019-10-23,2023-01-10,A,1.176873388576931,,,,SÃO PAULO,SANTOS
122,2024-04-01,RGE SUL DISTRIBUIDORA DE ENERGIA SA,9207,PE-00396-0119/2019,Bônus Motores,Industrial,0.0,0.28,1830.06,246.27,Promover a substituição de motores ineficientes IR1 por motores de alto rendimento IR3 através do incentivo do Bônus Motores,,2019-12-18,2023-01-10,Será aplicado a metodologia A do protocolo internacional de medição e verificação de performance,1.1764624937371415,,,,RIO GRANDE DO SUL,CAXIAS DO SUL
