NomAgente,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,VlrCustoTotal,Score
Empresa luz e força santa maria s.a.,11582.61,4314.71,137566.29304347828,0.005519453207564171
Centrais elétricas do pará s.a. - celpa,93602.91,72273.05,505784.8545544555,0.0054340215827665145
Companhia energética do rio grande do norte cosern,44460.65,12570.73,324427.91159420286,0.005282231144858991
Iguaçu distribuidora de energia elétrica ltda,1798.18,1064.01,79504.06333333334,0.005218157553113915
Cemar - companhia energética do para s/a,19970.59,2616.76,4471032.31,0.005051931720323597
Copel distribuicao s.a.,317967.92,121329.39,497324.5420149254,0.004949816612076793
Companhia nacional de energia elétrica,8758.63,3307.08,210109.30363636362,0.004819883776649787
Companhia energetica do ceara,191211.35,55099.05,706227.3801526717,0.004731060438310954
Rge sul distribuidora de energia s.a.,185034.57,60459.46,807795.274074074,0.004598885786160254
Energisa sul-sudeste - distribuidora de energia s.a.,33499.270000000004,16523.58,188677.9230232558,0.004582772248639962
Celpa - centrais eletricas do para s/a,38397.45,1358.71,4399192.86,0.004518574335659896
Manaus energia s/a,29681.79,13011.2,1117675.75,0.004498304845557571
Empresa força e luz joão cesa ltda,269.74,125.42,7932.902857142857,0.004446343193192494
Companhia hidroelétrica são patrício - chesp,2258.62,533.85,44282.91294117647,0.004180085328035907
Energisa minas gerais,656.34,38.08,169461.69,0.004097799089705816
Energisa paraíba - distribuidora de energia s.a,34373.52,9644.95,755147.6952941177,0.003943606245908941
Edp são paulo distribuição de energia s.a.,171934.22,75477.48,1447509.0073809524,0.003920627689040778
Companhia energética do piauí,23611.42,5815.38,1684763.5666666667,0.003739172462692042
Empresa elétrica bragantina s.a.,9148.0,3003.26,210753.55545454545,0.003637611275487405
Empresa força e luz urussanga ltda,560.13,226.84,25214.497857142855,0.0036313064291988314
Energisa nova friburgo - distribuidora de energia s.a.,1724.64,929.6600000000001,127607.00454545455,0.0035905754670552213
Equatorial para distribuidora de energia s.a.,2096.67,528.84,297812.79916666663,0.0034894161455023415
Companhia luz e força santa cruz,14423.85,5193.21,315069.005625,0.003363199828856856
